"form","state","region","female","age","class","OCCUPATION1","OCCUPATION2","OCCUPATION3","black","size","education","AGE_3WAY","AGE40","OCC8","prof","REGION4","EDU_RECODE","VOTE_PRO","VOTE_RETRO","PHONE_RECODE","CAR_RECODE","ballot","Q1","Q2","Q3","Q4A","Q4B","Q4C","Q5A","Q5B","farm","SIZE3","urban","StPOAbrv","SOUTH11","SOUTH11xBLACK","SOUTH12","SOUTH12xBLACK","south","SOUTHxBLACK","year","WtPubFeas","WtVotFeas"
,"New York","Middle Atlantic","Male","35-44 yrs","Av","Unskilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,,"fdr",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Roosevelt",,"Yes, voted for Roosevelt","Non-Farm","Urban","Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"New York","Middle Atlantic","Male",,"Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,,"fdr",,,53,"Yes","Yes","Yes","Landon","Landon","Roosevelt",,"Yes, voted for Roosevelt","Non-Farm","Urban","Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"New Jersey","Middle Atlantic","Male",,"Av+","Other and None",,,,"Urban",,,,"Other","Not Professional","Northeast",,,"fdr",,,53,"Yes","Yes","Yes","Roosevelt",,"Landon",,"Yes, voted for Roosevelt","Non-Farm","Urban","Urban","nj","Non-South",,"Non-South",,"Non-South",,1936,,
,"Florida","South and Southwest","Male","45-54 yrs","Av+","Skilled workers",,,,"Farm",,,,"Labor","Not Professional","South",,"Other","fdr",,,53,,"Yes","Yes","Landon","Landon","Landon","Thomas","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","fl","South",,"South",,"South",,1936,,
,"Louisiana","South and Southwest","Male","45-54 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","South",,"Other","fdr",,,53,"Yes","Yes","Yes","Landon","Lemke","Roosevelt","Lemke","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","la","South",,"South",,"South",,1936,,
,"Florida","South and Southwest","Male","55 yrs and over","Av+","Professiol",,,,"Small town",,,,"Professional","Professional","South",,"Other","fdr",,,53,"Yes","No","Yes","Landon","Roosevelt","Roosevelt","Lemke","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","fl","South",,"South",,"South",,1936,,
,"New York","Middle Atlantic","Male","25-34 yrs","Av","Professiol",,,,"Urban",,,,"Professional","Professional","Northeast",,"Other","fdr",,,53,"No","No","Yes","Roosevelt",,"Landon","Thomas","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","45-54 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Other","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Landon","Lemke","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","45-54 yrs","Av","Professiol",,,,"Urban",,,,"Professional","Professional","Northeast",,"fdr","Did not vote",,,53,"Yes",,"Yes","Roosevelt","Roosevelt",,"Roosevelt","No","Non-Farm","Urban","Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"West Virginia","Middle Atlantic","Male","55 yrs and over","Av+","Other and None",,,,"Farm",,,,"Other","Not Professional","Northeast",,"fdr","Did not vote",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","No","Farm","Farm","Non-Urban","wv","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","55 yrs and over","Av","Other and None",,,,"Urban",,,,"Other","Not Professional","Northeast",,"fdr","Did not vote",,,53,"No","Yes","Yes","Roosevelt",,"Roosevelt","Roosevelt","No","Non-Farm","Urban","Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"Maryland","Middle Atlantic","Male","55 yrs and over","Av","Business",,,,"Urban",,,,"Professional","Professional","Northeast",,"fdr","Did not vote",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Neither","Roosevelt","No","Non-Farm","Urban","Urban","md","Non-South",,"Non-South",,"Non-South",,1936,,
,"West Virginia","Middle Atlantic","Female","55 yrs and over","Av+","Other and None",,,,"Farm",,,,"Other","Not Professional","Northeast",,"fdr","Did not vote",,,53,,"Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","No","Farm","Farm","Non-Urban","wv","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Female","25-34 yrs","Av+","Other and None",,,,"Small town",,,,"Other","Not Professional","Northeast",,"fdr","Did not vote",,,53,,"Yes","Yes","Roosevelt","Landon","Landon","Roosevelt","No","Non-Farm","Rural Non-Farm","Non-Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"New York","Middle Atlantic","Female","25-34 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"fdr","Did not vote",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","No","Non-Farm","Urban","Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"New York","Middle Atlantic","Female","25-34 yrs","Av","Professiol",,,,"Urban",,,,"Professional","Professional","Northeast",,"fdr","Did not vote",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Neither","Roosevelt","No","Non-Farm","Urban","Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"New York","Middle Atlantic","Female","35-44 yrs","Av+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"fdr","Did not vote",,,53,"Yes",,"Yes","Roosevelt","Roosevelt","Landon","Roosevelt","No","Non-Farm","Urban","Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Female","35-44 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"fdr","Did not vote",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","No","Non-Farm","Urban","Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"Delaware","Middle Atlantic","Female","35-44 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"fdr","Did not vote",,,53,,,"Yes","Roosevelt","Landon","Both candidates","Roosevelt","No","Non-Farm","Urban","Urban","de","Non-South",,"Non-South",,"Non-South",,1936,,
,"Maryland","Middle Atlantic","Female","45-54 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"fdr","Did not vote",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","No","Non-Farm","Urban","Urban","md","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","35-44 yrs","P or P+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"fdr","Did not vote",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","No","Non-Farm","Urban","Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","25-34 yrs","Av+","Skilled workers",,,,"Farm",,,,"Labor","Not Professional","Northeast",,"fdr","Did not vote",,,53,"Yes","Yes","Yes","Roosevelt","Landon","Landon","Roosevelt","No","Farm","Farm","Non-Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"New York","Middle Atlantic","Male","25-34 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"fdr","Did not vote",,,53,"No",,"Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","No","Non-Farm","Urban","Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"New Jersey","Middle Atlantic","Male","25-34 yrs","Av+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"fdr","Did not vote",,,53,,"Yes","Yes","Roosevelt","Landon","Roosevelt","Roosevelt","No","Non-Farm","Urban","Urban","nj","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","25-34 yrs","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","Northeast",,"fdr","Did not vote",,,53,,"Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","No","Non-Farm","Rural Non-Farm","Non-Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","25-34 yrs","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","Northeast",,"fdr","Did not vote",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","No","Non-Farm","Rural Non-Farm","Non-Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","25-34 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"fdr","Did not vote",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","No","Non-Farm","Urban","Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"Maryland","Middle Atlantic","Male","25-34 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"fdr","Did not vote",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Neither","Roosevelt","No","Non-Farm","Urban","Urban","md","Non-South",,"Non-South",,"Non-South",,1936,,
,"Delaware","Middle Atlantic","Male","25-34 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"fdr","Did not vote",,,53,"No","Yes","Yes","Roosevelt","Landon","Roosevelt","Roosevelt","No","Non-Farm","Urban","Urban","de","Non-South",,"Non-South",,"Non-South",,1936,,
,"New Hampshire","Northeast","Male","25-34 yrs","Av+","Unskilled workers",,,,"Farm",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","No","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","nh","Non-South",,"Non-South",,"Non-South",,1936,,
,"New Hampshire","Northeast","Male","55 yrs and over","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,,"Yes","Yes","Landon","Landon",,"Landon","Yes, voted for Hoover","Non-Farm","Rural Non-Farm","Non-Urban","nh","Non-South",,"Non-South",,"Non-South",,1936,,
,"New Hampshire","Northeast","Male","55 yrs and over","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Rural Non-Farm","Non-Urban","nh","Non-South",,"Non-South",,"Non-South",,1936,,
,"New Hampshire","Northeast","Male","55 yrs and over","Av+","Skilled workers",,,,"Farm",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,,"Yes","Yes","Landon","Landon","Roosevelt","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","nh","Non-South",,"Non-South",,"Non-South",,1936,,
,"Maine","Northeast","Male","25-34 yrs","Av+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","No","Yes","Landon","Landon","Neither","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","me","Non-South",,"Non-South",,"Non-South",,1936,,
,"Maine","Northeast","Male","45-54 yrs","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","No","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Rural Non-Farm","Non-Urban","me","Non-South",,"Non-South",,"Non-South",,1936,,
,"Vermont","Northeast","Male","55 yrs and over","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Landon","Landon","Neither","Landon","Yes, voted for Hoover","Non-Farm","Rural Non-Farm","Non-Urban","vt","Non-South",,"Non-South",,"Non-South",,1936,,
,"Vermont","Northeast","Female","25-34 yrs","Av+","Professiol",,,,"Small town",,,,"Professional","Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Landon","Landon",,"Landon","Yes, voted for Hoover","Non-Farm","Rural Non-Farm","Non-Urban","vt","Non-South",,"Non-South",,"Non-South",,1936,,
,"Vermont","Northeast","Female","45-54 yrs","Av+","Other and None",,,,"Urban",,,,"Other","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Landon","Landon","Roosevelt","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","vt","Non-South",,"Non-South",,"Non-South",,1936,,
,"Vermont","Northeast","Female","55 yrs and over","Av+","Other and None",,,,"Farm",,,,"Other","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes","No","Yes","Landon","Landon","Both candidates","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","vt","Non-South",,"Non-South",,"Non-South",,1936,,
,"Vermont","Northeast","Male","55 yrs and over","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Rural Non-Farm","Non-Urban","vt","Non-South",,"Non-South",,"Non-South",,1936,,
,"Vermont","Northeast","Male","55 yrs and over","Av+","Other and None",,,,"Small town",,,,"Other","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Rural Non-Farm","Non-Urban","vt","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Male","45-54 yrs","Av","Business",,,,"Urban",,,,"Professional","Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Male","45-54 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Landon","Landon","Neither","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Male","45-54 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Roosevelt","Landon","Neither","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Male","35-44 yrs","Av","Professiol",,,,"Urban",,,,"Professional","Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Roosevelt","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Male","35-44 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Male","35-44 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,,"Yes","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Female","25-34 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Neither","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Female","25-34 yrs","Av","Other and None",,,,"Urban",,,,"Other","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Female","25-34 yrs","Av","Other and None",,,,"Urban",,,,"Other","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","No","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Female","45-54 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Female","45-54 yrs","Av","Professiol",,,,"Urban",,,,"Professional","Professional","Northeast",,"Landon","Hoover",,,53,"Yes","No","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Female","35-44 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","No","Yes","Landon","Landon","Neither","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Male",,"Av","Other and None",,,,"Urban",,,,"Other","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Male","25-34 yrs","Av","Other and None",,,,"Urban",,,,"Other","Not Professional","Northeast",,"Landon","Hoover",,,53,,,"Yes","Landon","Landon","Both candidates","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Male",,"Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Landon","Landon",,"Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Female","55 yrs and over","Av","Other and None",,,,"Urban",,,,"Other","Not Professional","Northeast",,"Landon","Hoover",,,53,"No",,"Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Male","55 yrs and over","Av","Professiol",,,,"Urban",,,,"Professional","Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Landon","Roosevelt",,"Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Male","55 yrs and over","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","No","Yes","Landon","Landon","Both candidates","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Male","55 yrs and over","Av","Business",,,,"Urban",,,,"Professional","Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Landon","Landon","Both candidates","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Female","45-54 yrs","P or P+","Other and None",,,,"Urban",,,,"Other","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Both candidates","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Male","45-54 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","No","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Massachusetts","Northeast","Male","25-34 yrs","P or P+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Roosevelt","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ma","Non-South",,"Non-South",,"Non-South",,1936,,
,"Rhode Island","Northeast","Male","35-44 yrs","Av","Other and None",,,,"Urban",,,,"Other","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","No","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ri","Non-South",,"Non-South",,"Non-South",,1936,,
,"Maryland","Middle Atlantic","Female","25-34 yrs","Av+","Professiol",,,,"Farm",,,,"Professional","Professional","Northeast",,"Landon","Hoover",,,53,"Yes","No","Yes","Roosevelt","Roosevelt","Landon","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","md","Non-South",,"Non-South",,"Non-South",,1936,,
,"Delaware","Middle Atlantic","Male","45-54 yrs","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Rural Non-Farm","Non-Urban","de","Non-South",,"Non-South",,"Non-South",,1936,,
,"New York","Middle Atlantic","Male","45-54 yrs","Av+","Professiol",,,,"Urban",,,,"Professional","Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"New York","Middle Atlantic","Male","45-54 yrs","Av+","Business",,,,"Small town",,,,"Professional","Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Landon","Roosevelt","Landon","Landon","Yes, voted for Hoover","Non-Farm","Rural Non-Farm","Non-Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"New York","Middle Atlantic","Male","45-54 yrs","Av+","Professiol",,,,"Urban",,,,"Professional","Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Landon","Landon","Both candidates","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"New York","Middle Atlantic","Male","45-54 yrs","Av+","Business",,,,"Urban",,,,"Professional","Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"New York","Middle Atlantic","Male",,"Av+","Professiol",,,,"Urban",,,,"Professional","Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Roosevelt","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"New York","Middle Atlantic","Male",,"Av","Other and None",,,,"Urban",,,,"Other","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"New Jersey","Middle Atlantic","Male",,"Av+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes","No","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","nj","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","25-34 yrs","Av+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes",,"Yes","Roosevelt","Landon","Both candidates","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","25-34 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Roosevelt","Landon","Neither","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"Maryland","Middle Atlantic","Male","25-34 yrs","Av+","Skilled workers",,,,"Farm",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Landon","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","md","Non-South",,"Non-South",,"Non-South",,1936,,
,"Delaware","Middle Atlantic","Male","25-34 yrs","Av+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes",,"Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","de","Non-South",,"Non-South",,"Non-South",,1936,,
,"New Jersey","Middle Atlantic","Male","25-34 yrs","Av+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"No","No","Yes","Roosevelt","Roosevelt","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","nj","Non-South",,"Non-South",,"Non-South",,1936,,
,"New Jersey","Middle Atlantic","Male","25-34 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Roosevelt","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","nj","Non-South",,"Non-South",,"Non-South",,1936,,
,"New York","Middle Atlantic","Male","25-34 yrs","Av","Business",,,,"Urban",,,,"Professional","Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","25-34 yrs","Av","Business",,,,"Urban",,,,"Professional","Professional","Northeast",,"Landon","Hoover",,,53,"No","Yes","Yes","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","25-34 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Roosevelt","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","25-34 yrs","Av+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Landon","Landon","Neither","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"New York","Middle Atlantic","Male","25-34 yrs","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,,,"Yes","Landon","Roosevelt","Neither","Landon","Yes, voted for Hoover","Non-Farm","Rural Non-Farm","Non-Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"Maryland","Middle Atlantic","Male","35-44 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Neither","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","md","Non-South",,"Non-South",,"Non-South",,1936,,
